Title,ID,Creator,Type,Year,Month,Day,Addressee,Location,Destination
"Letter to Elizabeth Palmer Peabody ; Peabody, Elizabeth Palmer",div00100c00074 ,"Channing, William Ellery",Letter,,9,29,"Peabody, Elizabeth Palmer",,
"Letter to Eloise R. Payne ; Payne, Eloise R.",div00100c00067 ,"Channing, William Ellery",Letter,1812,4,17,"Payne, Eloise R.",,Newport
"Letter to J. Blanco White ; White, J. Blanco",div00100c00098 ,"Channing, W.",Letter,1839,9,17,"White, Blanco",,Liverpool
"Letter from Richard Henry Dana ; Dana, Richard Henry",div00100c00125 ,"Dana, Richard Henry",Letter,1835,9,8,"Channing, William Ellery",,Newport
"Letter to Elizabeth Palmer Peabody, n.d. ; Peabody, Elizabeth Palmer",div00100c00076 ,"Channing, William Ellery",Letter,,,,"Peabody, Elizabeth Palmer",,
"Letter to Catherine Codman, Wednesday morning, n.d. ; Codman, Catherine",div00100c00043 ,"Channing, William Ellery",Letter,,,,"Codman, Catherine",Boston,Boston
Letter of acceptance of pastorate at Federal Street Church ; Series II. Papers re: Channing's ministry,div00480c00007,"Channing, William Ellery",Letter,1803,,,Committee of the religious Society,Newport,Boston
Letter to Rev. Samuel C. Thacher ; Series IV. Channing's published sermons and addresses,div00480c00026,"Channing, William Ellery",Letter,1815,6,20,"Thacher, Samuel C.",Boston,
Letter from James Munroe and Company ; James Munroe and Company,div00100c00134,James Munroe and Company,Letter,1838,10,26,"Channing, William Ellery",Boston,Boston
Letter from James Munroe and Company ; James Munroe and Company,div00100c00133,James Munroe and Company,Letter,1835,12,11,"Channing, William Ellery",,
Letter from James Munroe and Company ; James Munroe and Company,div00100c00135 ,James Munroe and Company,Letter,1839,5,24,"Channing, William Ellery",Boston,New York
"Letter of Rev. William E. Channing to the Standing Committee, printed with a reply, includes shorter typescript version ; Series IV. Channing's published sermons and addresses",div00480c00035,"Channing, William Ellery",Letter,1840,,,Standing Committee of the Proprietors of the Meeting-House,Boston,Boston
"Letter from William Channing (invitation to give lecture before the Franklin Society) ; Channing, Walter",div00100c00123 ,"Channing, Walter",Letter,1838,8,22,"Channing, William Ellery",Boston,Boston
Letters to Unitarians Occasioned by the Sermon of the Reverend William E. Channing at the Ordination of the Rev. J. Sparks ; Series IV. Channing's published sermons and addresses,div00480c00029,"Channing, William Ellery",Letter,1820,,,Unitarians,,
